-1 -1 -1
2.54836 0.549296 439
-1 -1 -1
-1 -1 -1
-1 -1 -1
2.59092 0.578784 407
-1 -1 -1
-1 -1 -1
2.61493 0.49456 414
2.62495 0.795985 420
2.63601 0.666172 411
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
2.70166 0.676664 407
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
2.90371 0.909352 300
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
3.01195 0.692104 310
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
3.07388 0.430239 326
-1 -1 -1
-1 -1 -1
-1 -1 -1
3.12079 0.460127 273
-1 -1 -1
-1 -1 -1
-1 -1 -1
3.16269 0.969952 291
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
3.23781 0.498893 259
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
-1 -1 -1
0.289344 1.26918 13998
0.295142 1.46527 14481
0.300762 1.36959 13804
0.310498 1.76558 14912
0.31967 1.66001 15001
0.329522 1.03552 15688
0.344698 1.24411 15662
0.351531 1.87753 15060
0.361614 1.89114 15788
0.374856 1.76558 16023
-1 -1 -1
0.391645 1.54358 15159
-1 -1 -1
-1 -1 -1
0.425613 1.87221 15482
-1 -1 -1
0.444151 1.96174 14777
-1 -1 -1
0.463508 1.93715 12928
-1 -1 -1
0.483134 1.8138 12601
-1 -1 -1
0.50172 1.82788 12018
-1 -1 -1
0.521134 1.55306 10670
-1 -1 -1
0.540216 1.64782 10135
0.557206 1.73664 9607
-1 -1 -1
0.574947 1.59373 9053
-1 -1 -1
0.59076 1.69269 8161
0.606808 1.76658 7521
-1 -1 -1
0.623479 1.82928 7260
-1 -1 -1
0.641179 1.92905 6856
0.657946 1.75836 6320
-1 -1 -1
0.673446 1.86593 5733
0.688446 1.04885 5673
0.690311 1.02144 5834
0.704049 1.61435 5227
-1 -1 -1
0.718914 1.79515 5086
0.732797 1.89651 5331
0.747783 1.68922 5381
-1 -1 -1
0.761776 1.54028 4645
0.774494 1.83536 4912
0.788381 1.06863 4423
0.789402 1.96603 4385
0.803271 1.51401 4425
0.817153 1.55583 4246
0.825001 1.5494 3788
0.830089 1.73652 4324
0.843087 1.60559 4519
0.858121 1.3331 4176
0.859129 1.27748 4442
0.873198 1.96553 4021
0.886231 1.16197 3904
0.89096 1.25943 3467
0.900281 1.88159 3910
0.911378 1.50506 3427
0.925448 1.55671 3415
0.932981 1.7033 3028
0.940494 1.95715 3254
0.955544 1.89806 3120
0.965272 1.7242 2934
0.970572 1.96214 3013
0.985429 1.73201 2998
-1 -1 -1
1.00327 1.1767 3118
1.01627 1.26114 2854
1.02123 1.83419 2758
-1 -1 -1
1.0381 1.55394 2808
1.05606 1.73776 2550
1.06458 1.64104 2595
1.07503 1.73619 2415
-1 -1 -1
1.09202 1.72601 2486
-1 -1 -1
1.11101 1.22333 2225
-1 -1 -1
1.12905 1.2998 2312
1.1441 1.13229 2090
-1 -1 -1
1.16212 1.9067 2028
1.17709 1.68481 2013
1.17814 1.03003 2044
1.19717 1.31373 1959
-1 -1 -1
1.21517 1.9152 1925
-1 -1 -1
1.23312 1.73325 1765
-1 -1 -1
1.25303 1.43286 1712
1.26597 1.56398 1610
1.27001 1.72726 1721
1.28498 1.87711 1537
1.29203 1.68435 1702
1.3049 1.42971 1595
-1 -1 -1
1.32481 1.90454 1548
1.33211 1.28922 1512
1.3457 1.26052 1549
1.35121 1.48938 1513
-1 -1 -1
1.37123 1.38748 1520
-1 -1 -1
1.3924 1.88242 1471
-1 -1 -1
1.40849 1.90166 1452
1.42676 1.89455 1206
1.4277 1.95785 1268
1.43994 1.18051 1409
1.45306 1.14978 1361
1.46649 1.63614 1313
1.46913 1.83077 1193
1.48339 1.7763 1268
1.49635 1.74832 1217
1.4973 1.30925 1338
1.50829 1.84737 1297
1.51714 1.81715 1261
1.52717 1.67876 1163
1.5378 1.44334 1238
1.54691 1.96662 1186
1.56582 1.59581 1133
1.57191 1.68598 1231
1.57991 1.55243 1163
1.59473 1.47273 1166
1.60281 1.62269 1108
1.61172 1.81812 1145
1.62063 1.90773 1093
1.62831 1.60949 1066
1.64164 1.84547 1063
1.65373 1.40123 1121
1.66464 1.91438 1120
-1 -1 -1
1.67766 1.89279 1044
1.68874 1.04829 1039
1.70077 1.00949 1025
1.71276 1.61058 1003
-1 -1 -1
1.72689 1.83002 960
1.7408 1.25367 941
1.75479 1.45374 943
-1 -1 -1
1.76881 1.42533 936
1.7858 1.46714 933
-1 -1 -1
1.8014 1.87701 944
1.81548 1.1175 916
1.81784 1.18762 946
1.83399 1.37131 883
-1 -1 -1
1.85101 1.51517 860
1.86591 1.50779 869
1.867 0.998972 893
1.88003 1.4718 799
1.89602 1.57309 828
